true,pred
EducationalInstitution,EducationalInstitution
EducationalInstitution,EducationalInstitution
Company,Company
Album,Album
Film,Film
WrittenWork,WrittenWork
OfficeHolder,OfficeHolder
MeanOfTransportation,MeanOfTransportation
Company,Company
Artist,Artist
Athlete,Athlete
EducationalInstitution,EducationalInstitution
Athlete,Athlete
MeanOfTransportation,MeanOfTransportation
Company,Company
Album,Album
OfficeHolder,OfficeHolder
EducationalInstitution,EducationalInstitution
Company,Company
EducationalInstitution,EducationalInstitution
OfficeHolder,OfficeHolder
Plant,Plant
Building,Building
Village,Village
Athlete,Athlete
OfficeHolder,OfficeHolder
NaturalPlace,NaturalPlace
Film,Film
Animal,Animal
WrittenWork,WrittenWork
OfficeHolder,OfficeHolder
Animal,Animal
Building,Building
OfficeHolder,OfficeHolder
NaturalPlace,NaturalPlace
Building,Building
OfficeHolder,OfficeHolder
Film,Film
Plant,Plant
OfficeHolder,OfficeHolder
WrittenWork,WrittenWork
Company,Company
Company,EducationalInstitution
Building,Building
MeanOfTransportation,MeanOfTransportation
Village,Village
Building,Building
Company,Company
WrittenWork,WrittenWork
Athlete,Athlete
Building,Building
Animal,Animal
WrittenWork,WrittenWork
Album,Album
Company,Company
Film,Film
OfficeHolder,OfficeHolder
NaturalPlace,NaturalPlace
Film,Film
Plant,Plant
Plant,Plant
Plant,Plant
Athlete,Athlete
Film,Film
Film,Film
Plant,Plant
MeanOfTransportation,MeanOfTransportation
MeanOfTransportation,MeanOfTransportation
Athlete,Athlete
EducationalInstitution,EducationalInstitution
Village,Village
Company,Company
WrittenWork,WrittenWork
Athlete,Athlete
Company,Company
EducationalInstitution,EducationalInstitution
EducationalInstitution,EducationalInstitution
Company,Company
Album,Album
Film,Film
Animal,Animal
Album,Album
Film,Film
Company,Company
NaturalPlace,NaturalPlace
EducationalInstitution,EducationalInstitution
Artist,Artist
Plant,Plant
EducationalInstitution,EducationalInstitution
Artist,Artist
Animal,Animal
Album,Album
Animal,Animal
Film,Film
Album,Album
NaturalPlace,NaturalPlace
EducationalInstitution,EducationalInstitution
OfficeHolder,OfficeHolder
Company,Company
Artist,Artist
Plant,Plant
NaturalPlace,NaturalPlace
Animal,Animal
WrittenWork,WrittenWork
Animal,Animal
WrittenWork,WrittenWork
MeanOfTransportation,MeanOfTransportation
Film,Film
Village,Village
Plant,Plant
WrittenWork,WrittenWork
Company,Company
WrittenWork,WrittenWork
Artist,Artist
Plant,Plant
Company,Company
WrittenWork,WrittenWork
NaturalPlace,NaturalPlace
EducationalInstitution,EducationalInstitution
Animal,WrittenWork
WrittenWork,WrittenWork
Village,Village
Film,Film
Artist,Artist
Company,Company
NaturalPlace,NaturalPlace
Animal,Animal
EducationalInstitution,EducationalInstitution
Village,Village
Plant,Plant
WrittenWork,WrittenWork
Plant,Plant
Animal,Animal
NaturalPlace,NaturalPlace
Artist,Artist
Animal,Animal
Album,Album
Athlete,Athlete
Artist,Artist
Athlete,Athlete
NaturalPlace,NaturalPlace
Athlete,Athlete
Album,Album
Artist,Artist
OfficeHolder,OfficeHolder
NaturalPlace,NaturalPlace
Film,Film
Plant,Plant
Building,Building
Film,Film
WrittenWork,WrittenWork
Company,Company
Athlete,Athlete
Athlete,Athlete
OfficeHolder,OfficeHolder
Village,Village
EducationalInstitution,EducationalInstitution
Building,Building
Building,NaturalPlace
MeanOfTransportation,MeanOfTransportation
MeanOfTransportation,Company
EducationalInstitution,EducationalInstitution
EducationalInstitution,EducationalInstitution
Animal,Animal
Film,Film
WrittenWork,WrittenWork
