true,pred
EducationalInstitution,EducationalInstitution
EducationalInstitution,EducationalInstitution
Company,Artist
Album,Artist
Film,Film
WrittenWork,UNKNOWN
OfficeHolder,UNKNOWN
MeanOfTransportation,UNKNOWN
Company,Company
Artist,Artist
Athlete,Athlete
EducationalInstitution,EducationalInstitution
Athlete,Athlete
MeanOfTransportation,Artist
Company,Company
Album,Artist
OfficeHolder,Artist
EducationalInstitution,EducationalInstitution
Company,Artist
EducationalInstitution,EducationalInstitution
OfficeHolder,Artist
Plant,Plant
Building,Building
Village,Village
Athlete,Athlete
OfficeHolder,Artist
NaturalPlace,UNKNOWN
Film,Film
Animal,Animal
WrittenWork,Film
OfficeHolder,UNKNOWN
Animal,Animal
Building,Building
OfficeHolder,UNKNOWN
NaturalPlace,UNKNOWN
Building,Building
OfficeHolder,UNKNOWN
Film,Film
Plant,Plant
OfficeHolder,Artist
WrittenWork,Artist
Company,Company
Company,EducationalInstitution
Building,Artist
MeanOfTransportation,UNKNOWN
Village,Village
Building,Building
Company,Company
WrittenWork,Film
Athlete,Artist
Building,UNKNOWN
Animal,Animal
WrittenWork,Film
Album,Artist
Company,UNKNOWN
Film,Film
OfficeHolder,UNKNOWN
NaturalPlace,UNKNOWN
Film,Film
Plant,Plant
Plant,Plant
Plant,Plant
Athlete,Athlete
Film,Film
Film,Film
Plant,Plant
MeanOfTransportation,UNKNOWN
MeanOfTransportation,Company
Athlete,Athlete
EducationalInstitution,EducationalInstitution
Village,Village
Company,Company
WrittenWork,UNKNOWN
Athlete,Artist
Company,Company
EducationalInstitution,EducationalInstitution
EducationalInstitution,UNKNOWN
Company,Company
Album,Album
Film,Artist
Animal,Animal
Album,Album
Film,Film
Company,Company
NaturalPlace,NaturalPlace
EducationalInstitution,Company
Artist,UNKNOWN
Plant,Plant
EducationalInstitution,EducationalInstitution
Artist,Artist
Animal,UNKNOWN
Album,Album
Animal,Animal
Film,Artist
Album,Artist
NaturalPlace,NaturalPlace
EducationalInstitution,EducationalInstitution
OfficeHolder,UNKNOWN
Company,Company
Artist,Artist
Plant,Plant
NaturalPlace,NaturalPlace
Animal,Animal
WrittenWork,Film
Animal,Animal
WrittenWork,UNKNOWN
MeanOfTransportation,Company
Film,Film
Village,Village
Plant,Plant
WrittenWork,UNKNOWN
Company,Company
WrittenWork,Film
Artist,Artist
Plant,NaturalPlace
Company,Company
WrittenWork,UNKNOWN
NaturalPlace,UNKNOWN
EducationalInstitution,EducationalInstitution
Animal,NaturalPlace
WrittenWork,Film
Village,Village
Film,Film
Artist,Artist
Company,Company
NaturalPlace,NaturalPlace
Animal,Animal
EducationalInstitution,EducationalInstitution
Village,Village
Plant,Plant
WrittenWork,Film
Plant,Plant
Animal,Animal
NaturalPlace,NaturalPlace
Artist,UNKNOWN
Animal,Animal
Album,Album
Athlete,Athlete
Artist,Artist
Athlete,Athlete
NaturalPlace,UNKNOWN
Athlete,Athlete
Album,Artist
Artist,Artist
OfficeHolder,OfficeHolder
NaturalPlace,UNKNOWN
Film,Film
Plant,Plant
Building,Building
Film,Film
WrittenWork,UNKNOWN
Company,Company
Athlete,Artist
Athlete,Artist
OfficeHolder,Artist
Village,Village
EducationalInstitution,EducationalInstitution
Building,UNKNOWN
Building,NaturalPlace
MeanOfTransportation,UNKNOWN
MeanOfTransportation,Company
EducationalInstitution,EducationalInstitution
EducationalInstitution,EducationalInstitution
Animal,Animal
Film,Film
WrittenWork,Company
