true,pred
Building,Building
Album,Album
Artist,Artist
Athlete,Athlete
Film,Film
NaturalPlace,NaturalPlace
OfficeHolder,OfficeHolder
EducationalInstitution,EducationalInstitution
Album,Album
Company,Company
Film,Film
Village,Village
Plant,Plant
NaturalPlace,NaturalPlace
Company,Company
MeanOfTransportation,MeanOfTransportation
Album,Album
EducationalInstitution,EducationalInstitution
Athlete,Athlete
Film,Film
OfficeHolder,Artist
Film,Film
Film,Film
Artist,Artist
Plant,Plant
WrittenWork,WrittenWork
OfficeHolder,OfficeHolder
NaturalPlace,NaturalPlace
Plant,Plant
Animal,Animal
NaturalPlace,NaturalPlace
Artist,Artist
EducationalInstitution,EducationalInstitution
MeanOfTransportation,MeanOfTransportation
EducationalInstitution,EducationalInstitution
Village,Village
Building,Building
Artist,Athlete
Company,Company
Building,Building
OfficeHolder,OfficeHolder
Artist,Artist
Company,Company
Artist,Artist
Company,Company
Album,Album
Artist,Athlete
NaturalPlace,NaturalPlace
WrittenWork,WrittenWork
EducationalInstitution,EducationalInstitution
NaturalPlace,NaturalPlace
Athlete,Athlete
Plant,Plant
WrittenWork,WrittenWork
WrittenWork,WrittenWork
Animal,Animal
Artist,Artist
Plant,Plant
Animal,Animal
Album,Album
Film,Film
EducationalInstitution,EducationalInstitution
Film,Film
Athlete,Athlete
Animal,Animal
Album,Album
MeanOfTransportation,MeanOfTransportation
OfficeHolder,OfficeHolder
Village,Village
Building,Building
Film,Film
Building,Building
OfficeHolder,OfficeHolder
WrittenWork,WrittenWork
WrittenWork,WrittenWork
MeanOfTransportation,MeanOfTransportation
Film,Film
Plant,Plant
Animal,Animal
Company,Company
MeanOfTransportation,MeanOfTransportation
Artist,Artist
Company,Company
Film,Film
EducationalInstitution,EducationalInstitution
Album,Album
Building,Building
Village,Village
Artist,Artist
Album,Album
Artist,Artist
Plant,Plant
EducationalInstitution,EducationalInstitution
Film,Film
Company,Company
Plant,Plant
Animal,Animal
Animal,Animal
OfficeHolder,OfficeHolder
Village,Village
WrittenWork,WrittenWork
Plant,Plant
MeanOfTransportation,MeanOfTransportation
WrittenWork,WrittenWork
Building,Building
Building,Building
Artist,Artist
Village,Village
Athlete,Athlete
Athlete,Athlete
Building,Building
Village,Village
Building,Building
Animal,Animal
Animal,Animal
WrittenWork,WrittenWork
Film,Film
Plant,Plant
Artist,Artist
EducationalInstitution,EducationalInstitution
WrittenWork,WrittenWork
Film,Film
Film,Film
EducationalInstitution,EducationalInstitution
Artist,Athlete
Film,Film
EducationalInstitution,EducationalInstitution
OfficeHolder,OfficeHolder
Artist,Athlete
Film,Film
Film,Film
EducationalInstitution,Building
WrittenWork,WrittenWork
Village,Village
MeanOfTransportation,MeanOfTransportation
MeanOfTransportation,MeanOfTransportation
OfficeHolder,OfficeHolder
Film,Film
WrittenWork,WrittenWork
WrittenWork,WrittenWork
NaturalPlace,NaturalPlace
MeanOfTransportation,MeanOfTransportation
NaturalPlace,NaturalPlace
EducationalInstitution,EducationalInstitution
Athlete,Athlete
Animal,Animal
OfficeHolder,OfficeHolder
Plant,Plant
Building,Building
WrittenWork,WrittenWork
Album,Album
Film,Film
Village,Village
Building,Building
Company,Company
EducationalInstitution,EducationalInstitution
Company,Company
Athlete,Athlete
OfficeHolder,OfficeHolder
Plant,Plant
Athlete,Athlete
Company,Company
Company,Company
Athlete,Athlete
WrittenWork,WrittenWork
OfficeHolder,OfficeHolder
WrittenWork,WrittenWork
