true,pred
Building,Building
Album,Album
Artist,Artist
Athlete,Athlete
Film,Film
NaturalPlace,NaturalPlace
OfficeHolder,UNKNOWN
EducationalInstitution,EducationalInstitution
Album,Album
Company,Company
Film,Film
Village,Village
Plant,Plant
NaturalPlace,NaturalPlace
Company,Company
MeanOfTransportation,Company
Album,Album
EducationalInstitution,Artist
Athlete,Athlete
Film,Film
OfficeHolder,Artist
Film,Film
Film,Film
Artist,Artist
Plant,Plant
WrittenWork,Artist
OfficeHolder,Athlete
NaturalPlace,NaturalPlace
Plant,Plant
Animal,Animal
NaturalPlace,UNKNOWN
Artist,Artist
EducationalInstitution,EducationalInstitution
MeanOfTransportation,Film
EducationalInstitution,EducationalInstitution
Village,Village
Building,Building
Artist,Artist
Company,Company
Building,Building
OfficeHolder,UNKNOWN
Artist,Artist
Company,Company
Artist,Artist
Company,Company
Album,Album
Artist,Artist
NaturalPlace,UNKNOWN
WrittenWork,Artist
EducationalInstitution,EducationalInstitution
NaturalPlace,NaturalPlace
Athlete,Athlete
Plant,Artist
WrittenWork,UNKNOWN
WrittenWork,UNKNOWN
Animal,Plant
Artist,Artist
Plant,Plant
Animal,Animal
Album,Album
Film,Film
EducationalInstitution,EducationalInstitution
Film,Film
Athlete,Athlete
Animal,Animal
Album,Album
MeanOfTransportation,NaturalPlace
OfficeHolder,UNKNOWN
Village,Village
Building,Building
Film,Film
Building,Building
OfficeHolder,Artist
WrittenWork,Film
WrittenWork,Film
MeanOfTransportation,UNKNOWN
Film,Film
Plant,Plant
Animal,Animal
Company,Company
MeanOfTransportation,UNKNOWN
Artist,Artist
Company,Company
Film,Film
EducationalInstitution,Artist
Album,Artist
Building,Building
Village,Village
Artist,Artist
Album,Artist
Artist,Artist
Plant,Plant
EducationalInstitution,EducationalInstitution
Film,Artist
Company,Company
Plant,Plant
Animal,Animal
Animal,NaturalPlace
OfficeHolder,Artist
Village,Village
WrittenWork,UNKNOWN
Plant,Plant
MeanOfTransportation,UNKNOWN
WrittenWork,Artist
Building,Building
Building,Building
Artist,Artist
Village,Village
Athlete,Artist
Athlete,Athlete
Building,Building
Village,Village
Building,Building
Animal,NaturalPlace
Animal,Animal
WrittenWork,UNKNOWN
Film,Film
Plant,Plant
Artist,Artist
EducationalInstitution,EducationalInstitution
WrittenWork,UNKNOWN
Film,Film
Film,Film
EducationalInstitution,UNKNOWN
Artist,UNKNOWN
Film,Film
EducationalInstitution,EducationalInstitution
OfficeHolder,Artist
Artist,Artist
Film,Film
Film,Film
EducationalInstitution,Building
WrittenWork,Artist
Village,Village
MeanOfTransportation,UNKNOWN
MeanOfTransportation,UNKNOWN
OfficeHolder,UNKNOWN
Film,Film
WrittenWork,UNKNOWN
WrittenWork,Company
NaturalPlace,NaturalPlace
MeanOfTransportation,Company
NaturalPlace,NaturalPlace
EducationalInstitution,EducationalInstitution
Athlete,Athlete
Animal,Plant
OfficeHolder,OfficeHolder
Plant,Plant
Building,Building
WrittenWork,Film
Album,Artist
Film,Film
Village,Village
Building,Building
Company,Company
EducationalInstitution,EducationalInstitution
Company,Company
Athlete,Athlete
OfficeHolder,Artist
Plant,Plant
Athlete,Athlete
Company,Company
Company,Company
Athlete,Athlete
WrittenWork,UNKNOWN
OfficeHolder,UNKNOWN
WrittenWork,UNKNOWN
